model_name,epoch,train_loss,val_loss,train_accuracy_pct,val_accuracy_pct,epoch_seconds
swin_tiny_cached_extended,1,3.8375554008483888,2.983468692779541,30.15,55.05,0.1809954780037515
swin_tiny_cached_extended,2,2.3951518014907838,2.029799436569214,61.78,61.65,0.13095780400180956
swin_tiny_cached_extended,3,1.6671889474868775,1.611561435699463,67.5,64.55,0.17827774800389307
swin_tiny_cached_extended,4,1.3359146907806396,1.4162385187149047,71.05,66.4,0.1552005760022439
swin_tiny_cached_extended,5,1.1533898469924926,1.3082304105758666,73.58,68.0,0.13115286100219237
swin_tiny_cached_extended,6,1.0340768220901488,1.2362266302108764,75.08,68.25,0.14928101600526134
swin_tiny_cached_extended,7,0.9446682945251464,1.1879546127319336,77.15,69.3,0.1265798079984961
swin_tiny_cached_extended,8,0.8719134578704834,1.151713026046753,78.78,69.5,0.1246660639953916
swin_tiny_cached_extended,9,0.8119145073890686,1.1237236499786376,80.18,69.9,0.15263394700014032
swin_tiny_cached_extended,10,0.761108963394165,1.100755488395691,81.71,70.65,0.12959880900598364
swin_tiny_cached_extended,11,0.7155364999771118,1.0871318702697754,82.89,70.65,0.17357011399872135
swin_tiny_cached_extended,12,0.6755313646316529,1.0711790914535522,84.11,70.95,0.13561463600490242
swin_tiny_cached_extended,13,0.6392014979362488,1.0611330442428588,84.75,71.35,0.1305284180052695
swin_tiny_cached_extended,14,0.6064923567771912,1.0526656732559203,85.95,70.85,0.14517407599487342
swin_tiny_cached_extended,15,0.5760927766799927,1.0453709478378297,86.86,71.45,0.11468137799965916
swin_tiny_cached_extended,16,0.5480338576793671,1.039619885444641,87.69,71.5,0.16249778899509693
swin_tiny_cached_extended,17,0.5219117630004882,1.0342289066314698,88.38,71.8,0.4606377749951207
swin_tiny_cached_extended,18,0.49832794198989866,1.032445408821106,89.06,71.55,0.14032547600072576
swin_tiny_cached_extended,19,0.47711277871131896,1.027767861366272,89.79,71.55,0.15031428600195795
swin_tiny_cached_extended,20,0.4561818193435669,1.0259411096572877,90.35,71.9,0.17601238600036595
swin_tiny_cached_extended,21,0.43665835304260253,1.0249038257598877,91.06,72.1,0.31319751200499013
swin_tiny_cached_extended,22,0.41865525569915774,1.0236389074325563,91.4,71.9,0.23579379200236872
swin_tiny_cached_extended,23,0.40193978309631345,1.022650104522705,92.11,72.0,0.3195823409987497
swin_tiny_cached_extended,24,0.3854030120849609,1.0218631420135498,92.72,72.05,0.21989632899931166
swin_tiny_cached_extended,25,0.37145447158813477,1.0206202459335327,93.0,72.2,0.27792406599473907
swin_tiny_cached_extended,26,0.3572042127132416,1.0236797771453858,93.54,72.0,0.24666978999448474
swin_tiny_cached_extended,27,0.34272694511413576,1.0221228713989259,93.94,72.05,0.36710723800206324
swin_tiny_cached_extended,28,0.3302392280578613,1.023668267250061,94.36,72.0,0.13687294800183736
swin_tiny_cached_extended,29,0.3188490319728851,1.0243865461349488,94.63,72.2,0.17389084000024013
swin_tiny_cached_extended,30,0.30625884194374087,1.0256559505462646,95.12,71.75,0.2697761210001772
swin_small_cached_extended,1,3.7251710971832277,2.8023666896820068,35.07,58.3,0.23760193199996138
swin_small_cached_extended,2,2.1965842138290403,1.8115057935714722,65.11,66.25,0.3628247340020607
swin_small_cached_extended,3,1.4806221815109253,1.4183211784362793,70.44,68.35,0.21821989999443758
swin_small_cached_extended,4,1.182547893333435,1.2508729057312011,72.92,69.5,0.39540534999832744
swin_small_cached_extended,5,1.025901816368103,1.1580717687606812,75.4,70.9,0.2680919409976923
swin_small_cached_extended,6,0.9225091390609741,1.1006299781799316,77.16,71.0,0.3813854309992166
swin_small_cached_extended,7,0.8449825316429138,1.0633073978424072,78.97,71.6,0.18441499000618933
swin_small_cached_extended,8,0.7825723950386048,1.0312448368072509,80.41,72.4,0.29167409100045916
swin_small_cached_extended,9,0.7300224271774292,1.0092665452957152,81.72,72.75,0.2147959029971389
swin_small_cached_extended,10,0.685323283958435,0.9910581903457641,82.89,73.3,0.30875836099585285
swin_small_cached_extended,11,0.6456266993522644,0.978140923500061,83.98,73.9,0.19591600099374773
swin_small_cached_extended,12,0.6101004548072815,0.965101927280426,84.82,73.65,0.3465146340022329
swin_small_cached_extended,13,0.579047104549408,0.9561808986663818,85.61,74.5,0.23463522599922726
swin_small_cached_extended,14,0.549532421875,0.9476958980560303,86.39,73.8,0.26403762900008587
swin_small_cached_extended,15,0.5223156200408936,0.9446143479347229,87.33,73.85,0.41735550799785415
swin_small_cached_extended,16,0.4974285064697266,0.9381786704063415,87.91,74.45,0.31555094600480516
swin_small_cached_extended,17,0.47618925342559815,0.932491473197937,88.72,74.15,0.18562574200041126
swin_small_cached_extended,18,0.45564755692481995,0.9317004742622376,89.5,74.3,0.11483809399942402
swin_small_cached_extended,19,0.43567448081970217,0.9253775696754456,90.23,74.4,0.3011216160011827
swin_small_cached_extended,20,0.4171891698360443,0.9256659035682678,90.76,74.4,0.17065180999634322
swin_small_cached_extended,21,0.40028097767829895,0.9236788916587829,91.31,74.55,0.24589598499733256
swin_small_cached_extended,22,0.384931006526947,0.9229460434913636,91.89,74.55,0.14528423699812265
swin_small_cached_extended,23,0.3701233050346375,0.9208793187141419,92.23,74.8,0.14904878500237828
swin_small_cached_extended,24,0.35567281332015993,0.9232201542854309,92.85,74.35,0.29034573099488625
swin_small_cached_extended,25,0.3422598473072052,0.921905279636383,93.35,74.6,0.12861300200165715
swin_small_cached_extended,26,0.3303518909931183,0.9208422636985779,93.46,74.55,0.12690683500113664
swin_small_cached_extended,27,0.3187601793289185,0.9211685614585876,93.91,74.6,0.13531708600203274
swin_small_cached_extended,28,0.3067803266048431,0.9219961867332459,94.45,74.7,0.11344760400243104
swin_small_cached_extended,29,0.2967704546928406,0.9217781047821045,94.64,74.55,0.1247930340032326
swin_small_cached_extended,30,0.2869289691448212,0.9230620632171631,94.96,74.25,0.12335398899449501
